best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,303.5,565,1797,0.852802865422,16,6,0,0,False,if (parser->m_parsingStatus.parsing == XML_PARSING || parser->m_parsingStatus.parsing == XML_SUSPENDED)
42,303.5,565,1799,0.852802865422,16,6,0,0,False,parser->m_hash_secret_salt = hash_salt;
42,303.5,565,1800,0.852802865422,16,6,0,0,False,return 1;
42,303.5,565,1804,0.852802865422,16,6,0,0,False,"XML_Parse(XML_Parser parser, const char *s, int len, int isFinal)"
42,303.5,565,1806,0.852802865422,16,6,0,0,False,if ((parser == NULL) || (len < 0) || ((s == NULL) && (len != 0))) {
42,303.5,565,1811,0.852802865422,16,6,0,0,False,switch (parser->m_parsingStatus.parsing) {
42,303.5,565,1818,0.852802865422,16,6,0,0,False,case XML_INITIALIZED:
42,303.5,565,1819,0.852802865422,16,6,0,0,False,if (parser->m_parentParser == NULL && !startParsing(parser)) {
42,303.5,565,1824,0.852802865422,16,6,0,0,False,parser->m_parsingStatus.parsing = XML_PARSING;
42,303.5,565,1827,0.852802865422,16,6,0,0,False,if (len == 0) {
42,303.5,565,1942,0.852802865422,16,6,0,0,False,"void *buff = XML_GetBuffer(parser, len);"
42,303.5,565,1943,0.852802865422,16,6,0,0,False,if (buff == NULL)
42,303.5,565,1946,0.852802865422,16,6,0,0,False,"memcpy(buff, s, len);"
42,303.5,565,1947,0.852802865422,16,6,0,0,False,"return XML_ParseBuffer(parser, len, isFinal);"
42,303.5,565,1953,0.852802865422,16,6,0,0,False,"XML_ParseBuffer(XML_Parser parser, int len, int isFinal)"
42,303.5,565,1956,0.852802865422,16,6,0,0,False,enum XML_Status result = XML_STATUS_OK;
42,303.5,565,1958,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,1960,0.852802865422,16,6,0,0,False,switch (parser->m_parsingStatus.parsing) {
42,303.5,565,1973,0.852802865422,16,6,0,0,False,parser->m_parsingStatus.parsing = XML_PARSING;
42,303.5,565,1976,0.852802865422,16,6,0,0,False,start = parser->m_bufferPtr;
42,303.5,565,1977,0.852802865422,16,6,0,0,False,parser->m_positionPtr = start;
42,303.5,565,1978,0.852802865422,16,6,0,0,False,parser->m_bufferEnd += len;
42,303.5,565,1979,0.852802865422,16,6,0,0,False,parser->m_parseEndPtr = parser->m_bufferEnd;
42,303.5,565,1980,0.852802865422,16,6,0,0,False,parser->m_parseEndByteIndex += len;
42,303.5,565,1981,0.852802865422,16,6,0,0,False,parser->m_parsingStatus.finalBuffer = (XML_Bool)isFinal;
42,303.5,565,1983,0.852802865422,16,6,0,0,False,"parser->m_errorCode = parser->m_processor(parser, start, parser->m_parseEndPtr, &parser->m_bufferPtr);"
42,303.5,565,1985,0.852802865422,16,6,0,0,False,if (parser->m_errorCode != XML_ERROR_NONE) {
42,303.5,565,1991,0.852802865422,16,6,0,0,False,switch (parser->m_parsingStatus.parsing) {
42,303.5,565,2011,0.852802865422,16,6,0,0,False,"XML_GetBuffer(XML_Parser parser, int len)"
42,303.5,565,2013,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,2015,0.852802865422,16,6,0,0,False,if (len < 0) {
42,303.5,565,2019,0.852802865422,16,6,0,0,False,switch (parser->m_parsingStatus.parsing) {
42,303.5,565,2026,0.852802865422,16,6,0,0,False,default: ;
42,303.5,565,2029,0.852802865422,16,6,0,0,False,if (len > parser->m_bufferLim - parser->m_bufferEnd) {
42,303.5,565,2034,0.852802865422,16,6,0,0,False,int neededSize = (int) ((unsigned)len + (unsigned)(parser->m_bufferEnd - parser->m_bufferPtr));
42,303.5,565,2035,0.852802865422,16,6,0,0,False,if (neededSize < 0) {
42,303.5,565,2040,0.852802865422,16,6,0,0,False,keep = (int)(parser->m_bufferPtr - parser->m_buffer);
42,303.5,565,2041,0.852802865422,16,6,0,0,False,if (keep > XML_CONTEXT_BYTES)
42,303.5,565,2043,0.852802865422,16,6,0,0,False,neededSize += keep;
42,303.5,565,2045,0.852802865422,16,6,0,0,False,if (neededSize  <= parser->m_bufferLim - parser->m_buffer) {
42,303.5,565,2061,0.852802865422,16,6,0,0,False,int bufferSize = (int)(parser->m_bufferLim - parser->m_bufferPtr);
42,303.5,565,2062,0.852802865422,16,6,0,0,False,if (bufferSize == 0)
42,303.5,565,2063,0.852802865422,16,6,0,0,False,bufferSize = INIT_BUFFER_SIZE;
42,303.5,565,2066,0.852802865422,16,6,0,0,False,bufferSize = (int) (2U * (unsigned) bufferSize);
42,303.5,565,2067,0.852802865422,16,6,0,0,False,} while (bufferSize < neededSize && bufferSize > 0);
42,303.5,565,2068,0.852802865422,16,6,0,0,False,if (bufferSize <= 0) {
42,303.5,565,2072,0.852802865422,16,6,0,0,False,"newBuf = (char *)MALLOC(parser, bufferSize);"
42,303.5,565,2073,0.852802865422,16,6,0,0,False,if (newBuf == 0) {
42,303.5,565,2077,0.852802865422,16,6,0,0,False,parser->m_bufferLim = newBuf + bufferSize;
42,303.5,565,2079,0.852802865422,16,6,0,0,False,if (parser->m_bufferPtr) {
42,303.5,565,2090,0.852802865422,16,6,0,0,False,parser->m_bufferEnd = newBuf + (parser->m_bufferEnd - parser->m_bufferPtr);
42,303.5,565,2091,0.852802865422,16,6,0,0,False,parser->m_bufferPtr = parser->m_buffer = newBuf;
42,303.5,565,2102,0.852802865422,16,6,0,0,False,parser->m_eventPtr = parser->m_eventEndPtr = NULL;
42,303.5,565,2103,0.852802865422,16,6,0,0,False,parser->m_positionPtr = NULL;
42,303.5,565,2105,0.852802865422,16,6,0,0,False,return parser->m_bufferEnd;
42,303.5,565,2481,0.852802865422,16,6,0,0,False,storeRawNames(XML_Parser parser)
42,303.5,565,2483,0.852802865422,16,6,0,0,False,TAG *tag = parser->m_tagStack;
42,303.5,565,2484,0.852802865422,16,6,0,0,False,while (tag) {
42,303.5,565,2522,0.852802865422,16,6,0,0,False,return XML_TRUE;
42,303.5,565,2526,0.852802865422,16,6,0,0,False,"contentProcessor(XML_Parser parser,"
42,303.5,565,2531,0.852802865422,16,6,0,0,False,"enum XML_Error result = doContent(parser, 0, parser->m_encoding, start, end,"
42,303.5,565,2532,0.852802865422,16,6,0,0,False,"endPtr, (XML_Bool)!parser->m_parsingStatus.finalBuffer);"
42,303.5,565,2533,0.852802865422,16,6,0,0,False,if (result == XML_ERROR_NONE) {
